"","indicator","group","state","subgroup","phase","time_period","time_period_label","time_period_start_date","time_period_end_date","value","lowci","highci","confidence_interval","quartile_range"
"1","Symptoms of Depressive Disorder","By Age","United States","18 - 29 years","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","32.7","30.2","35.2","30.2 - 35.2",NA
"2","Symptoms of Depressive Disorder","By Age","United States","30 - 39 years","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","25.7","24.1","27.3","24.1 - 27.3",NA
"3","Symptoms of Depressive Disorder","By Age","United States","40 - 49 years","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","24.8","23.3","26.2","23.3 - 26.2",NA
"4","Symptoms of Depressive Disorder","By Age","United States","50 - 59 years","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","23.2","21.5","25","21.5 - 25.0",NA
"5","Symptoms of Depressive Disorder","By Age","United States","60 - 69 years","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","18.4","17","19.7","17.0 - 19.7",NA
"6","Symptoms of Depressive Disorder","By Age","United States","70 - 79 years","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","13.6","11.8","15.5","11.8 - 15.5",NA
"7","Symptoms of Depressive Disorder","By Age","United States","80 years and above","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","14.4","9","21.4","9.0 - 21.4",NA
"8","Symptoms of Anxiety Disorder","By Age","United States","18 - 29 years","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","40.2","38.1","42.4","38.1 - 42.4",NA
"9","Symptoms of Anxiety Disorder","By Age","United States","30 - 39 years","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","34.4","32.6","36.1","32.6 - 36.1",NA
"10","Symptoms of Anxiety Disorder","By Age","United States","40 - 49 years","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","34.1","32.1","36.2","32.1 - 36.2",NA
"11","Symptoms of Anxiety Disorder","By Age","United States","50 - 59 years","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","31","29","33.1","29.0 - 33.1",NA
"12","Symptoms of Anxiety Disorder","By Age","United States","60 - 69 years","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","24.9","23.6","26.3","23.6 - 26.3",NA
"13","Symptoms of Anxiety Disorder","By Age","United States","70 - 79 years","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","16.4","14.8","18.1","14.8 - 18.1",NA
"14","Symptoms of Anxiety Disorder","By Age","United States","80 years and above","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","14.6","11.5","18.2","11.5 - 18.2",NA
"15","Symptoms of Anxiety Disorder or Depressive Disorder","By Age","United States","18 - 29 years","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","46.8","44.3","49.3","44.3 - 49.3",NA
"16","Symptoms of Anxiety Disorder or Depressive Disorder","By Age","United States","30 - 39 years","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","39.6","37.7","41.5","37.7 - 41.5",NA
"17","Symptoms of Anxiety Disorder or Depressive Disorder","By Age","United States","40 - 49 years","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","38.9","37.2","40.7","37.2 - 40.7",NA
"18","Symptoms of Anxiety Disorder or Depressive Disorder","By Age","United States","50 - 59 years","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","35.8","34","37.7","34.0 - 37.7",NA
"19","Symptoms of Anxiety Disorder or Depressive Disorder","By Age","United States","60 - 69 years","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","28.9","27.6","30.3","27.6 - 30.3",NA
"20","Symptoms of Anxiety Disorder or Depressive Disorder","By Age","United States","70 - 79 years","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","21.5","19.3","23.7","19.3 - 23.7",NA
"21","Symptoms of Anxiety Disorder or Depressive Disorder","By Age","United States","80 years and above","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","21.1","15.6","27.5","15.6 - 27.5",NA
"22","Symptoms of Depressive Disorder","By Age","United States","18 - 29 years","1","2","May 7 - May 12, 2020","2020-05-07T00:00:00.000","2020-05-12T00:00:00.000","36.2","32.2","40.2","32.2 - 40.2",NA
"23","Symptoms of Depressive Disorder","By Age","United States","30 - 39 years","1","2","May 7 - May 12, 2020","2020-05-07T00:00:00.000","2020-05-12T00:00:00.000","27.7","25.7","29.8","25.7 - 29.8",NA
"24","Symptoms of Depressive Disorder","By Age","United States","40 - 49 years","1","2","May 7 - May 12, 2020","2020-05-07T00:00:00.000","2020-05-12T00:00:00.000","25.5","23.1","28","23.1 - 28.0",NA
"25","Symptoms of Depressive Disorder","By Age","United States","50 - 59 years","1","2","May 7 - May 12, 2020","2020-05-07T00:00:00.000","2020-05-12T00:00:00.000","24.1","22","26.2","22.0 - 26.2",NA
"26","Symptoms of Depressive Disorder","By Age","United States","60 - 69 years","1","2","May 7 - May 12, 2020","2020-05-07T00:00:00.000","2020-05-12T00:00:00.000","17.6","15.7","19.6","15.7 - 19.6",NA
"27","Symptoms of Depressive Disorder","By Age","United States","70 - 79 years","1","2","May 7 - May 12, 2020","2020-05-07T00:00:00.000","2020-05-12T00:00:00.000","12.2","10.4","14.2","10.4 - 14.2",NA
"28","Symptoms of Depressive Disorder","By Age","United States","80 years and above","1","2","May 7 - May 12, 2020","2020-05-07T00:00:00.000","2020-05-12T00:00:00.000","9.1","6.9","11.6","6.9 - 11.6",NA
"29","Symptoms of Anxiety Disorder","By Age","United States","18 - 29 years","1","2","May 7 - May 12, 2020","2020-05-07T00:00:00.000","2020-05-12T00:00:00.000","42","38.3","45.7","38.3 - 45.7",NA
"30","Symptoms of Anxiety Disorder","By Age","United States","30 - 39 years","1","2","May 7 - May 12, 2020","2020-05-07T00:00:00.000","2020-05-12T00:00:00.000","34.3","32.6","36.1","32.6 - 36.1",NA
"31","Symptoms of Anxiety Disorder","By Age","United States","40 - 49 years","1","2","May 7 - May 12, 2020","2020-05-07T00:00:00.000","2020-05-12T00:00:00.000","31.9","29.3","34.6","29.3 - 34.6",NA
"32","Symptoms of Anxiety Disorder","By Age","United States","50 - 59 years","1","2","May 7 - May 12, 2020","2020-05-07T00:00:00.000","2020-05-12T00:00:00.000","31.3","29","33.7","29.0 - 33.7",NA
"33","Symptoms of Anxiety Disorder","By Age","United States","60 - 69 years","1","2","May 7 - May 12, 2020","2020-05-07T00:00:00.000","2020-05-12T00:00:00.000","22","19.8","24.3","19.8 - 24.3",NA
"34","Symptoms of Anxiety Disorder","By Age","United States","70 - 79 years","1","2","May 7 - May 12, 2020","2020-05-07T00:00:00.000","2020-05-12T00:00:00.000","16.4","14.5","18.5","14.5 - 18.5",NA
"35","Symptoms of Anxiety Disorder","By Age","United States","80 years and above","1","2","May 7 - May 12, 2020","2020-05-07T00:00:00.000","2020-05-12T00:00:00.000","11","8.2","14.3","8.2 - 14.3",NA
"36","Symptoms of Anxiety Disorder or Depressive Disorder","By Age","United States","18 - 29 years","1","2","May 7 - May 12, 2020","2020-05-07T00:00:00.000","2020-05-12T00:00:00.000","47.4","43.4","51.3","43.4 - 51.3",NA
"37","Symptoms of Anxiety Disorder or Depressive Disorder","By Age","United States","30 - 39 years","1","2","May 7 - May 12, 2020","2020-05-07T00:00:00.000","2020-05-12T00:00:00.000","39.3","37.4","41.2","37.4 - 41.2",NA
"38","Symptoms of Anxiety Disorder or Depressive Disorder","By Age","United States","40 - 49 years","1","2","May 7 - May 12, 2020","2020-05-07T00:00:00.000","2020-05-12T00:00:00.000","36.9","34.1","39.7","34.1 - 39.7",NA
"39","Symptoms of Anxiety Disorder or Depressive Disorder","By Age","United States","50 - 59 years","1","2","May 7 - May 12, 2020","2020-05-07T00:00:00.000","2020-05-12T00:00:00.000","35.5","33","37.9","33.0 - 37.9",NA
"40","Symptoms of Anxiety Disorder or Depressive Disorder","By Age","United States","60 - 69 years","1","2","May 7 - May 12, 2020","2020-05-07T00:00:00.000","2020-05-12T00:00:00.000","25.5","23.2","27.9","23.2 - 27.9",NA
"41","Symptoms of Anxiety Disorder or Depressive Disorder","By Age","United States","70 - 79 years","1","2","May 7 - May 12, 2020","2020-05-07T00:00:00.000","2020-05-12T00:00:00.000","19.8","17.7","22","17.7 - 22.0",NA
"42","Symptoms of Anxiety Disorder or Depressive Disorder","By Age","United States","80 years and above","1","2","May 7 - May 12, 2020","2020-05-07T00:00:00.000","2020-05-12T00:00:00.000","13.9","10.9","17.3","10.9 - 17.3",NA
"43","Symptoms of Depressive Disorder","By Age","United States","18 - 29 years","1","3","May 14 - May 19, 2020","2020-05-14T00:00:00.000","2020-05-19T00:00:00.000","36.7","34.2","39.1","34.2 - 39.1",NA
"44","Symptoms of Depressive Disorder","By Age","United States","30 - 39 years","1","3","May 14 - May 19, 2020","2020-05-14T00:00:00.000","2020-05-19T00:00:00.000","26.7","25","28.5","25.0 - 28.5",NA
"45","Symptoms of Depressive Disorder","By Age","United States","40 - 49 years","1","3","May 14 - May 19, 2020","2020-05-14T00:00:00.000","2020-05-19T00:00:00.000","25","23.3","26.7","23.3 - 26.7",NA
"46","Symptoms of Depressive Disorder","By Age","United States","50 - 59 years","1","3","May 14 - May 19, 2020","2020-05-14T00:00:00.000","2020-05-19T00:00:00.000","24.6","22.9","26.4","22.9 - 26.4",NA
"47","Symptoms of Depressive Disorder","By Age","United States","60 - 69 years","1","3","May 14 - May 19, 2020","2020-05-14T00:00:00.000","2020-05-19T00:00:00.000","18","16.3","19.6","16.3 - 19.6",NA
"48","Symptoms of Depressive Disorder","By Age","United States","70 - 79 years","1","3","May 14 - May 19, 2020","2020-05-14T00:00:00.000","2020-05-19T00:00:00.000","12.3","10.4","14.5","10.4 - 14.5",NA
"49","Symptoms of Depressive Disorder","By Age","United States","80 years and above","1","3","May 14 - May 19, 2020","2020-05-14T00:00:00.000","2020-05-19T00:00:00.000","14.4","10.9","18.6","10.9 - 18.6",NA
"50","Symptoms of Anxiety Disorder","By Age","United States","18 - 29 years","1","3","May 14 - May 19, 2020","2020-05-14T00:00:00.000","2020-05-19T00:00:00.000","38.6","36.2","41.1","36.2 - 41.1",NA
"51","Symptoms of Anxiety Disorder","By Age","United States","30 - 39 years","1","3","May 14 - May 19, 2020","2020-05-14T00:00:00.000","2020-05-19T00:00:00.000","32.2","30.3","34.1","30.3 - 34.1",NA
"52","Symptoms of Anxiety Disorder","By Age","United States","40 - 49 years","1","3","May 14 - May 19, 2020","2020-05-14T00:00:00.000","2020-05-19T00:00:00.000","30.7","28.9","32.5","28.9 - 32.5",NA
"53","Symptoms of Anxiety Disorder","By Age","United States","50 - 59 years","1","3","May 14 - May 19, 2020","2020-05-14T00:00:00.000","2020-05-19T00:00:00.000","28.4","26.6","30.3","26.6 - 30.3",NA
"54","Symptoms of Anxiety Disorder","By Age","United States","60 - 69 years","1","3","May 14 - May 19, 2020","2020-05-14T00:00:00.000","2020-05-19T00:00:00.000","22.3","20.7","24","20.7 - 24.0",NA
"55","Symptoms of Anxiety Disorder","By Age","United States","70 - 79 years","1","3","May 14 - May 19, 2020","2020-05-14T00:00:00.000","2020-05-19T00:00:00.000","13.4","12","15","12.0 - 15.0",NA
"56","Symptoms of Anxiety Disorder","By Age","United States","80 years and above","1","3","May 14 - May 19, 2020","2020-05-14T00:00:00.000","2020-05-19T00:00:00.000","11.8","8.8","15.3","8.8 - 15.3",NA
