"","indicator","group","state","subgroup","phase","time_period","time_period_label","time_period_start_date","time_period_end_date","value","lowci","highci","confidence_interval","quartile_range"
"1","Symptoms of Depressive Disorder","National Estimate","United States","United States","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","23.5","22.7","24.3","22.7 - 24.3",NA
"2","Symptoms of Depressive Disorder","By Age","United States","18 - 29 years","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","32.7","30.2","35.2","30.2 - 35.2",NA
"3","Symptoms of Depressive Disorder","By Age","United States","30 - 39 years","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","25.7","24.1","27.3","24.1 - 27.3",NA
"4","Symptoms of Depressive Disorder","By Age","United States","40 - 49 years","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","24.8","23.3","26.2","23.3 - 26.2",NA
"5","Symptoms of Depressive Disorder","By Age","United States","50 - 59 years","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","23.2","21.5","25","21.5 - 25.0",NA
"6","Symptoms of Depressive Disorder","By Age","United States","60 - 69 years","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","18.4","17","19.7","17.0 - 19.7",NA
"7","Symptoms of Depressive Disorder","By Age","United States","70 - 79 years","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","13.6","11.8","15.5","11.8 - 15.5",NA
"8","Symptoms of Depressive Disorder","By Age","United States","80 years and above","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","14.4","9","21.4","9.0 - 21.4",NA
"9","Symptoms of Depressive Disorder","By Sex","United States","Male","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","20.8","19.6","22","19.6 - 22.0",NA
"10","Symptoms of Depressive Disorder","By Sex","United States","Female","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","26.1","25.2","27.1","25.2 - 27.1",NA
"11","Symptoms of Depressive Disorder","By Race/Hispanic ethnicity","United States","Hispanic or Latino","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","29.4","26.8","32.1","26.8 - 32.1",NA
"12","Symptoms of Depressive Disorder","By Race/Hispanic ethnicity","United States","Non-Hispanic White, single race","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","21.4","20.6","22.1","20.6 - 22.1",NA
"13","Symptoms of Depressive Disorder","By Race/Hispanic ethnicity","United States","Non-Hispanic Black, single race","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","25.6","23.7","27.5","23.7 - 27.5",NA
"14","Symptoms of Depressive Disorder","By Race/Hispanic ethnicity","United States","Non-Hispanic Asian, single race","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","23.6","20.3","27.1","20.3 - 27.1",NA
"15","Symptoms of Depressive Disorder","By Race/Hispanic ethnicity","United States","Non-Hispanic, other races and multiple races","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","28.3","24.8","32","24.8 - 32.0",NA
"16","Symptoms of Depressive Disorder","By Education","United States","Less than a high school diploma","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","32.7","27.8","38","27.8 - 38.0",NA
"17","Symptoms of Depressive Disorder","By Education","United States","High school diploma or GED","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","25.4","23.9","26.9","23.9 - 26.9",NA
"18","Symptoms of Depressive Disorder","By Education","United States","Some college/Associate's degree","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","25.6","24.4","26.9","24.4 - 26.9",NA
"19","Symptoms of Depressive Disorder","By Education","United States","Bachelor's degree or higher","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","17.6","16.8","18.4","16.8 - 18.4",NA
"20","Symptoms of Depressive Disorder","By State","Alabama","Alabama","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","18.6","14.6","23.1","14.6 - 23.1","16.5 - 20.7"
"21","Symptoms of Depressive Disorder","By State","Alaska","Alaska","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","19.2","16.8","21.8","16.8 - 21.8","16.5 - 20.7"
"22","Symptoms of Depressive Disorder","By State","Arizona","Arizona","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","22.4","19.4","25.5","19.4 - 25.5","22.2 - 24.0"
"23","Symptoms of Depressive Disorder","By State","Arkansas","Arkansas","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","26.6","22.3","31.3","22.3 - 31.3","24.1 - 28.7"
"24","Symptoms of Depressive Disorder","By State","California","California","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","25.4","22.5","28.6","22.5 - 28.6","24.1 - 28.7"
"25","Symptoms of Depressive Disorder","By State","Colorado","Colorado","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","22","19.4","24.9","19.4 - 24.9","20.8 - 22.1"
"26","Symptoms of Depressive Disorder","By State","Connecticut","Connecticut","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","24.4","20.1","29.1","20.1 - 29.1","24.1 - 28.7"
"27","Symptoms of Depressive Disorder","By State","Delaware","Delaware","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","21.1","17.6","24.9","17.6 - 24.9","20.8 - 22.1"
"28","Symptoms of Depressive Disorder","By State","District of Columbia","District of Columbia","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","26.4","22.1","31.1","22.1 - 31.1","24.1 - 28.7"
"29","Symptoms of Depressive Disorder","By State","Florida","Florida","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","22.5","19.7","25.4","19.7 - 25.4","22.2 - 24.0"
"30","Symptoms of Depressive Disorder","By State","Georgia","Georgia","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","25.6","21.4","30.2","21.4 - 30.2","24.1 - 28.7"
"31","Symptoms of Depressive Disorder","By State","Hawaii","Hawaii","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","20","14.9","26.1","14.9 - 26.1","16.5 - 20.7"
"32","Symptoms of Depressive Disorder","By State","Idaho","Idaho","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","20.6","17.3","24.1","17.3 - 24.1","16.5 - 20.7"
"33","Symptoms of Depressive Disorder","By State","Illinois","Illinois","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","23.3","19.6","27.2","19.6 - 27.2","22.2 - 24.0"
"34","Symptoms of Depressive Disorder","By State","Indiana","Indiana","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","26.4","22.1","31","22.1 - 31.0","24.1 - 28.7"
"35","Symptoms of Depressive Disorder","By State","Iowa","Iowa","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","16.5","13.7","19.6","13.7 - 19.6","16.5 - 20.7"
"36","Symptoms of Depressive Disorder","By State","Kansas","Kansas","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","22.1","18.3","26.4","18.3 - 26.4","20.8 - 22.1"
