"","indicator","group","state","subgroup","phase","time_period","time_period_label","time_period_start_date","time_period_end_date","value","lowci","highci","confidence_interval","quartile_range"
"1","Symptoms of Depressive Disorder","By Sex","United States","Male","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","20.8","19.6","22","19.6 - 22.0",NA
"2","Symptoms of Depressive Disorder","By Sex","United States","Female","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","26.1","25.2","27.1","25.2 - 27.1",NA
"3","Symptoms of Anxiety Disorder","By Sex","United States","Male","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","26.1","24.7","27.5","24.7 - 27.5",NA
"4","Symptoms of Anxiety Disorder","By Sex","United States","Female","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","35.4","34.5","36.3","34.5 - 36.3",NA
"5","Symptoms of Anxiety Disorder or Depressive Disorder","By Sex","United States","Male","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","31","29.6","32.3","29.6 - 32.3",NA
"6","Symptoms of Anxiety Disorder or Depressive Disorder","By Sex","United States","Female","1","1","Apr 23 - May 5, 2020","2020-04-23T00:00:00.000","2020-05-05T00:00:00.000","40.7","39.7","41.6","39.7 - 41.6",NA
"7","Symptoms of Depressive Disorder","By Sex","United States","Male","1","2","May 7 - May 12, 2020","2020-05-07T00:00:00.000","2020-05-12T00:00:00.000","22.3","20.6","24","20.6 - 24.0",NA
"8","Symptoms of Depressive Disorder","By Sex","United States","Female","1","2","May 7 - May 12, 2020","2020-05-07T00:00:00.000","2020-05-12T00:00:00.000","25.8","24.7","27","24.7 - 27.0",NA
"9","Symptoms of Anxiety Disorder","By Sex","United States","Male","1","2","May 7 - May 12, 2020","2020-05-07T00:00:00.000","2020-05-12T00:00:00.000","26.7","24.9","28.5","24.9 - 28.5",NA
"10","Symptoms of Anxiety Disorder","By Sex","United States","Female","1","2","May 7 - May 12, 2020","2020-05-07T00:00:00.000","2020-05-12T00:00:00.000","33.1","32","34.2","32.0 - 34.2",NA
"11","Symptoms of Anxiety Disorder or Depressive Disorder","By Sex","United States","Male","1","2","May 7 - May 12, 2020","2020-05-07T00:00:00.000","2020-05-12T00:00:00.000","31.4","29.5","33.3","29.5 - 33.3",NA
"12","Symptoms of Anxiety Disorder or Depressive Disorder","By Sex","United States","Female","1","2","May 7 - May 12, 2020","2020-05-07T00:00:00.000","2020-05-12T00:00:00.000","37.2","36.2","38.3","36.2 - 38.3",NA
"13","Symptoms of Depressive Disorder","By Sex","United States","Male","1","3","May 14 - May 19, 2020","2020-05-14T00:00:00.000","2020-05-19T00:00:00.000","22.1","21","23.3","21.0 - 23.3",NA
"14","Symptoms of Depressive Disorder","By Sex","United States","Female","1","3","May 14 - May 19, 2020","2020-05-14T00:00:00.000","2020-05-19T00:00:00.000","26.7","25.8","27.6","25.8 - 27.6",NA
"15","Symptoms of Anxiety Disorder","By Sex","United States","Male","1","3","May 14 - May 19, 2020","2020-05-14T00:00:00.000","2020-05-19T00:00:00.000","24.2","23.2","25.2","23.2 - 25.2",NA
"16","Symptoms of Anxiety Disorder","By Sex","United States","Female","1","3","May 14 - May 19, 2020","2020-05-14T00:00:00.000","2020-05-19T00:00:00.000","32.1","31","33.1","31.0 - 33.1",NA
"17","Symptoms of Anxiety Disorder or Depressive Disorder","By Sex","United States","Male","1","3","May 14 - May 19, 2020","2020-05-14T00:00:00.000","2020-05-19T00:00:00.000","29.9","28.7","31.1","28.7 - 31.1",NA
"18","Symptoms of Anxiety Disorder or Depressive Disorder","By Sex","United States","Female","1","3","May 14 - May 19, 2020","2020-05-14T00:00:00.000","2020-05-19T00:00:00.000","37.6","36.5","38.7","36.5 - 38.7",NA
"19","Symptoms of Depressive Disorder","By Sex","United States","Male","1","4","May 21 - May 26, 2020","2020-05-21T00:00:00.000","2020-05-26T00:00:00.000","22.7","21.5","24","21.5 - 24.0",NA
"20","Symptoms of Depressive Disorder","By Sex","United States","Female","1","4","May 21 - May 26, 2020","2020-05-21T00:00:00.000","2020-05-26T00:00:00.000","26.9","25.8","28","25.8 - 28.0",NA
