"Countries","Code","Years","Prevalence_depr_male","Prevalence_depr_female","Population_Estimate"
"Netherlands","NLD",1990,3.07873551645672,4.8241427479286,14965442
"New Zealand","NZL",1990,3.15923425482245,4.57970128003009,3398175
"South Korea","KOR",1990,1.61907073200739,2.49201851911621,42918416
"United States","USA",1990,3.04505178206161,5.04172081856302,252120309
"Netherlands","NLD",1991,3.07266842095739,4.79220288484791,15064522
"New Zealand","NZL",1991,3.17412401409782,4.60144929143494,3446171
"South Korea","KOR",1991,1.60525469747292,2.47035582804877,43373148
"United States","USA",1991,3.13878212588275,5.20007124796018,254539371
"Netherlands","NLD",1992,3.06534126177022,4.76218280533715,15165856
"New Zealand","NZL",1992,3.18629569413215,4.62110353490915,3503194
"South Korea","KOR",1992,1.59277932163903,2.45566308644431,43848223
"United States","USA",1992,3.23306365418537,5.35540446008686,256990608
"Netherlands","NLD",1993,3.0582110289377,4.73744253291251,15268005
"New Zealand","NZL",1993,3.19414830368793,4.63330530734007,3564473
"South Korea","KOR",1993,1.58568924427444,2.44243153512108,44335037
"United States","USA",1993,3.32526933420215,5.50161157561888,259532130
"Netherlands","NLD",1994,3.05310239542643,4.71601125198946,15369121
"New Zealand","NZL",1994,3.19602004261343,4.64483633793186,3623272
"South Korea","KOR",1994,1.57944065701476,2.43323970546187,44820070
"United States","USA",1994,3.41094030726068,5.63457823542983,262241204
"Netherlands","NLD",1995,3.04937177117268,4.70698041373669,15467852
"New Zealand","NZL",1995,3.19698618390715,4.65132363874851,3674940
"South Korea","KOR",1995,1.57933273595337,2.43057911799319,45292521
"United States","USA",1995,3.48687251724574,5.74906560650361,265163740
"Netherlands","NLD",1996,3.04423110170366,4.70108822803417,15563252
"New Zealand","NZL",1996,3.18963805806892,4.65717187055833,3717352
"South Korea","KOR",1996,1.57993838955374,2.43484034233223,45751023
"United States","USA",1996,3.54914392925015,5.84501041947139,268335007
"Netherlands","NLD",1997,3.03925744688855,4.69431910509586,15655482
"New Zealand","NZL",1997,3.17543727697919,4.66062264354099,3752355
"South Korea","KOR",1997,1.58407799314793,2.44406556627273,46196056
"United States","USA",1997,3.5973216788141,5.92443414215883,271713634
"Netherlands","NLD",1998,3.03491064634706,4.68690655686093,15745650
"New Zealand","NZL",1998,3.15939921878759,4.66413652274914,3783976
"South Korea","KOR",1998,1.5902151532631,2.45637217104031,46620698
"United States","USA",1998,3.63301562429502,5.98869641968035,275175309
"Netherlands","NLD",1999,3.02770039484157,4.68233440160861,15835525
"New Zealand","NZL",1999,3.14620612569601,4.67058644434192,3818128
"South Korea","KOR",1999,1.59333745920691,2.47130981213869,47016952
"United States","USA",1999,3.65788802027714,6.03621278156983,278548148
"Netherlands","NLD",2000,3.0251908138041,4.68651735914091,15926188
"New Zealand","NZL",2000,3.14691529582389,4.68172286008808,3858992
"South Korea","KOR",2000,1.59435462639893,2.48593959088461,47379237
"United States","USA",2000,3.67132587009422,6.06849704561574,281710914
"Netherlands","NLD",2001,3.02286017458221,4.69989433610382,16018112
"New Zealand","NZL",2001,3.15684412909015,4.6990051237608,3907941
"South Korea","KOR",2001,1.59130885025837,2.50258637965005,47706226
"United States","USA",2001,3.67465356631311,6.08664843996187,284607992
"Netherlands","NLD",2002,3.02369963719729,4.72164074476178,16110355
"New Zealand","NZL",2002,3.17083912577368,4.72073773873042,3963202
"South Korea","KOR",2002,1.58096608251898,2.52821049914029,47999551
"United States","USA",2002,3.6676841466027,6.09766751685882,287279312
"Netherlands","NLD",2003,3.02758429197458,4.74752453658961,16200948
"New Zealand","NZL",2003,3.18511865088068,4.74432071476977,4022074
"South Korea","KOR",2003,1.56946819334609,2.55421202703537,48260901
"United States","USA",2003,3.65632537255041,6.10305886671544,289815567
"Netherlands","NLD",2004,3.02908071400639,4.76757460807883,16287183
"New Zealand","NZL",2004,3.19928449377807,4.77001156434041,4080421
"South Korea","KOR",2004,1.5597965604246,2.57508514287049,48493434
"United States","USA",2004,3.64620324318382,6.10877837337125,292354663
"Netherlands","NLD",2005,3.0303513237684,4.773563979812,16367153
"New Zealand","NZL",2005,3.21067677783776,4.79254764778865,4135353
"South Korea","KOR",2005,1.55816330286074,2.58601562288822,48701069
"United States","USA",2005,3.64454890060888,6.11927140509901,294993509
"Netherlands","NLD",2006,3.03231635690922,4.77134552905699,16440091
"New Zealand","NZL",2006,3.22120526279634,4.8068082683769,4185881
"South Korea","KOR",2006,1.57540531337617,2.59500119693579,48880449
"United States","USA",2006,3.64856942033878,6.13155612161489,297758977
"Netherlands","NLD",2007,3.03868799922738,4.76573723478048,16506651
"New Zealand","NZL",2007,3.23002259149062,4.80664515259692,4233046
"South Korea","KOR",2007,1.61896079151778,2.60772551651066,49034813
"United States","USA",2007,3.65343235383669,6.14144328642147,300608425
"Netherlands","NLD",2008,3.04344615164873,4.75334935047751,16568105
"New Zealand","NZL",2008,3.2393258854632,4.80431316466021,4278156
"South Korea","KOR",2008,1.67457594957398,2.62496193663555,49182458
"United States","USA",2008,3.65805423988905,6.14752305377253,303486022
"Netherlands","NLD",2009,3.05031858099491,4.73710996979688,16626379
"New Zealand","NZL",2009,3.24673964492657,4.79973624617549,4323338
"South Korea","KOR",2009,1.72917952420601,2.64328670239686,49347450
"United States","USA",2009,3.65980788795446,6.15033782677344,306307565
"Netherlands","NLD",2010,3.05429835112518,4.71404485012328,16682927
"New Zealand","NZL",2010,3.24723667908014,4.80143534342198,4370060
"South Korea","KOR",2010,1.76377507763568,2.65847970036341,49545638
"United States","USA",2010,3.65954352537656,6.14842906070015,309011469
"Netherlands","NLD",2011,3.05924720587151,4.67336633560449,16738190
"New Zealand","NZL",2011,3.24936928655679,4.81897148225025,4418674
"South Korea","KOR",2011,1.78672715003277,2.67537019700885,49786153
"United States","USA",2011,3.64198038660129,6.13046916480935,311584051
"Netherlands","NLD",2012,3.06989174028528,4.60239067973035,16791850
"New Zealand","NZL",2012,3.25716237402599,4.84843195260256,4468462
"South Korea","KOR",2012,1.80783068428281,2.69474156271095,50060639
"United States","USA",2012,3.60453482501565,6.08885258278343,314043885
"Netherlands","NLD",2013,3.0788516831286,4.52976992903302,16843512
"New Zealand","NZL",2013,3.26685468234942,4.88078759105136,4518519
"South Korea","KOR",2013,1.8267779920123,2.71641890633826,50345720
"United States","USA",2013,3.5596490492659,6.03848925227068,316400539
"Netherlands","NLD",2014,3.08765150247331,4.47033961535902,16892517
"New Zealand","NZL",2014,3.27630098555868,4.91101885019298,4567522
"South Korea","KOR",2014,1.84123449097814,2.73570907411753,50607904
"United States","USA",2014,3.51931011193017,5.99046439299943,318673422
"Netherlands","NLD",2015,3.09266020438758,4.44348382980701,16938492
"New Zealand","NZL",2015,3.28185783391571,4.92735036136118,4614527
"South Korea","KOR",2015,1.85155357813179,2.74871640255591,50823087
"United States","USA",2015,3.49544268990311,5.95780040237815,320878312
"Netherlands","NLD",2016,3.08183169018349,4.53533528305442,16981285
"New Zealand","NZL",2016,3.28222343297117,4.92919975528496,4659265
"South Korea","KOR",2016,1.83900430111756,2.72327059498727,50983446
"United States","USA",2016,3.48766705629416,5.94382190783038,323015992
"Netherlands","NLD",2017,3.0685480456039,4.63176321934945,17021343
"New Zealand","NZL",2017,3.28114724042209,4.92891328192205,4702029
"South Korea","KOR",2017,1.82705049851687,2.68337918728648,51096408
"United States","USA",2017,3.48452807204775,5.93731919003628,325084758
"Netherlands","NLD",2018,3.07900187391826,4.64455656057819,17059560
"New Zealand","NZL",2018,3.27928161331109,4.92736475754008,4743131
"South Korea","KOR",2018,1.84559240214953,2.6673417522738,51171700
"United States","USA",2018,3.48624613672428,5.93071771287854,327096263
"Netherlands","NLD",2019,3.10552205618187,4.64196675768646,17097123
"New Zealand","NZL",2019,3.2713890452233,4.92095857191791,4783062
"South Korea","KOR",2019,1.88257875940314,2.6453720672844,51225321
"United States","USA",2019,3.49579068358777,5.92444001373587,329064917
