"Countries","Years","Hours"
"South Korea",2008,2228
"South Korea",2009,2174
"South Korea",2010,2163
"South Korea",2011,2136
"South Korea",2012,2119
"South Korea",2013,2106
"South Korea",2014,2076
"South Korea",2015,2083
"South Korea",2016,2068
"South Korea",2017,2018
"South Korea",2018,1993
"South Korea",2019,1967
"South Korea",2020,1908
"South Korea",2021,1915
"Netherlands",1970,1809
"Netherlands",1971,1777
"Netherlands",1972,1775
"Netherlands",1973,1749
"Netherlands",1974,1696
"Netherlands",1975,1644
"Netherlands",1976,1628
"Netherlands",1977,1608
"Netherlands",1978,1580
"Netherlands",1979,1559
"Netherlands",1980,1556
"Netherlands",1981,1556
"Netherlands",1982,1542
"Netherlands",1983,1527
"Netherlands",1984,1519
"Netherlands",1985,1502
"Netherlands",1986,1488
"Netherlands",1987,1467
"Netherlands",1988,1464
"Netherlands",1989,1459
"Netherlands",1990,1454
"Netherlands",1991,1444
"Netherlands",1992,1451
"Netherlands",1993,1440
"Netherlands",1994,1447
"Netherlands",1995,1481.55820033021
"Netherlands",1996,1496.45040431267
"Netherlands",1997,1481.96731171548
"Netherlands",1998,1478.72183908046
"Netherlands",1999,1477.17405338299
"Netherlands",2000,1464.06144093624
"Netherlands",2001,1454.07684952791
"Netherlands",2002,1436.37664649341
"Netherlands",2003,1427.82780429594
"Netherlands",2004,1447.89523234762
"Netherlands",2005,1433.6118705036
"Netherlands",2006,1430.44713061847
"Netherlands",2007,1429.1720246238
"Netherlands",2008,1428.56623667975
"Netherlands",2009,1420.04706414753
"Netherlands",2010,1419.63344344458
"Netherlands",2011,1420.18023715415
"Netherlands",2012,1410.50978838972
"Netherlands",2013,1414.6989579755
"Netherlands",2014,1425.5953008596
"Netherlands",2015,1425.81357856494
"Netherlands",2016,1437.30940400313
"Netherlands",2017,1436.76564376979
"Netherlands",2018,1436.06016156463
"Netherlands",2019,1438.52012093411
"Netherlands",2020,1406.86703688181
"Netherlands",2021,1416.54266598044
"New Zealand",1986,1834
"New Zealand",1987,1838
"New Zealand",1988,1829
"New Zealand",1989,1820
"New Zealand",1990,1809
"New Zealand",1991,1792
"New Zealand",1992,1799
"New Zealand",1993,1853
"New Zealand",1994,1848
"New Zealand",1995,1841
"New Zealand",1996,1834
"New Zealand",1997,1826
"New Zealand",1998,1829
"New Zealand",1999,1845
"New Zealand",2000,1836
"New Zealand",2001,1825
"New Zealand",2002,1826
"New Zealand",2003,1823
"New Zealand",2004,1830
"New Zealand",2005,1815
"New Zealand",2006,1795
"New Zealand",2007,1774
"New Zealand",2008,1761
"New Zealand",2009,1740
"New Zealand",2010,1755
"New Zealand",2011,1746
"New Zealand",2012,1734
"New Zealand",2013,1756
"New Zealand",2014,1758
"New Zealand",2015,1753
"New Zealand",2016,1754
"New Zealand",2017,1756
"New Zealand",2018,1759
"New Zealand",2019,1783
"New Zealand",2020,1739
"New Zealand",2021,1730
"United States",1950,1967.87679289051
"United States",1951,1986.5487601824
"United States",1952,1988.42339622591
"United States",1953,1993.14481464122
"United States",1954,1984.11755576478
"United States",1955,2003.20062733952
"United States",1956,2002.39
"United States",1957,1973.322
"United States",1958,1947.184
"United States",1959,1957.55711654667
"United States",1960,1952.19147388992
"United States",1961,1941.31106491116
"United States",1962,1959.5334516077
"United States",1963,1971.94381778428
"United States",1964,1975.36292035274
"United States",1965,1983.83330340989
"United States",1966,1973.71763031248
"United States",1967,1950.95219291563
"United States",1968,1939.72629279093
"United States",1969,1937.55208117623
"United States",1970,1906.6601750938
"United States",1971,1894.38031712151
"United States",1972,1889.8252240717
"United States",1973,1890.54156020917
"United States",1974,1859.64871890518
"United States",1975,1838.80930763197
"United States",1976,1840.6584248035
"United States",1977,1844.45790322937
"United States",1978,1835.82748338729
"United States",1979,1833.72416871697
"United States",1980,1816.09362765859
"United States",1981,1812.33244263063
"United States",1982,1803.33408760082
"United States",1983,1821.69075052853
"United States",1984,1839.05045553816
"United States",1985,1837.50025262449
"United States",1986,1829.23506978348
"United States",1987,1839.02369273155
"United States",1988,1837.30489350926
"United States",1989,1848.43333845786
"United States",1990,1832.50772095248
"United States",1991,1823.454
"United States",1992,1967.87679289051
"United States",1993,1967.87679289051
"United States",1994,1839.483
"United States",1995,1839.384
"United States",1996,1840.446
"United States",1997,1842.957
"United States",1998,1842.28
"United States",1999,1838.804
"United States",2000,1832.16
"United States",2001,1810.772
"United States",2002,1805.895
"United States",2003,1796.418
"United States",2004,1798.124
"United States",2005,1794.312
"United States",2006,1796.333
"United States",2007,1795.48745454545
"United States",2008,1786.23391666667
"United States",2009,1760.9085
"United States",2010,1771.556
"United States",2011,1778.3375
"United States",2012,1781.96783333333
"United States",2013,1780.353
"United States",2014,1781.96783333333
"United States",2015,1783.01666666667
"United States",2016,1778.41766666667
"United States",2017,1777.57066666667
"United States",2018,1781.56716666667
"United States",2019,1777.241
"United States",2020,1767.095
"United States",2021,1791
