"Countries","Years","Hours"
"Australia",1985,1876
"Australia",1986,1877
"Australia",1987,1889
"Australia",1988,1885
"Australia",1989,1875
"Australia",1990,1853
"Australia",1991,1854.03811915011
"Australia",1992,1845.6043379902
"Australia",1993,1855.74418600485
"Australia",1994,1874.22702595268
"Australia",1995,1870.3078803203
"Australia",1996,1861.51681141638
"Australia",1997,1860.84842865841
"Australia",1998,1849.88192272734
"Australia",1999,1856.07991967208
"Australia",2000,1852.16221330258
"Australia",2001,1828.68534985625
"Australia",2002,1817.95614415663
"Australia",2003,1806.50344082021
"Australia",2004,1811.39604830845
"Australia",2005,1807.90422039924
"Australia",2006,1802.43110605435
"Australia",2007,1803.09856548217
"Australia",2008,1799.05290058731
"Australia",2009,1766.65426717138
"Australia",2010,1777.57063811043
"Australia",2011,1773.8951196348
"Australia",2012,1770.77504879768
"Australia",2013,1766.00918545794
"Australia",2014,1755.13274869288
"Australia",2015,1751.30537336357
"Australia",2016,1738.71539952934
"Australia",2017,1738.4942536067
"Australia",2018,1732.53874302482
"Australia",2019,1722.31334232542
"Australia",2020,1683.11193199766
"Australia",2021,1694.12905338561
"Austria",1995,1653
"Austria",1996,1683
"Austria",1997,1691
"Austria",1998,1671
"Austria",1999,1675
"Austria",2000,1675
"Austria",2001,1663
"Austria",2002,1661
"Austria",2003,1652
"Austria",2004,1655
"Austria",2005,1632
"Austria",2006,1617
"Austria",2007,1606
"Austria",2008,1599
"Austria",2009,1558
"Austria",2010,1552
"Austria",2011,1557
"Austria",2012,1535
"Austria",2013,1520
"Austria",2014,1510
"Austria",2015,1495
"Austria",2016,1507
"Austria",2017,1498
"Austria",2018,1502
"Austria",2019,1508.64347667649
"Austria",2020,1400.69358244345
"Austria",2021,1442.45375748537
"Belgium",1970,1883.2
"Belgium",1971,1873.4
"Belgium",1972,1847.5
"Belgium",1973,1820.1
"Belgium",1974,1791.9
"Belgium",1975,1782.7
"Belgium",1976,1785.5
"Belgium",1977,1759.8
"Belgium",1978,1743
"Belgium",1979,1726.6
"Belgium",1980,1706.5
"Belgium",1981,1683.4
"Belgium",1982,1669
"Belgium",1983,1674.9
"Belgium",1984,1699
