"Countries","Years","UnionDensity","Wages","Population_Estimate","Dep_Prevalence","Suicides_Per100k","Hours"
"Netherlands",2000,22.3,25518.5,15926188,3.85585408647251,9.69,1464.06144093624
"Netherlands",2001,21.6,25798.7,16018112,3.86137725534302,9.64,1454.07684952791
"Netherlands",2002,21.4,26056.9,16110355,3.87267019097953,9.75,1436.37664649341
"Netherlands",2003,20.9,25891.3,16200948,3.88755441428209,9.87,1427.82780429594
"Netherlands",2004,21.3,25461.5,16287183,3.89832766104261,9.4,1447.89523234762
"Netherlands",2005,22.1,25457.6,16367153,3.9019576517902,9.11,1433.6118705036
"Netherlands",2006,21.4,25649,16440091,3.90183094298311,8.88,1430.44713061847
"Netherlands",2007,20.2,25731.9,16506651,3.90221261700393,8.64,1429.1720246238
"Netherlands",2008,20,26261.8,16568105,3.89839775106312,8.74,1428.56623667975
"Netherlands",2009,20,26339.9,16626379,3.8937142753959,8.77,1420.04706414753
"Netherlands",2010,19.5,25920.3,16682927,3.88417160062423,8.93,1419.63344344458
"Netherlands",2011,19.3,25824.9,16738190,3.866306770738,9.11,1420.18023715415
"Netherlands",2012,18.8,25506.7,16791850,3.83614121000782,9.29,1410.50978838972
"Netherlands",2013,18.2,25620.9,16843512,3.80431080608081,9.33,1414.6989579755
"Netherlands",2014,18.1,25663.2,16892517,3.77899555891617,9.22,1425.5953008596
"Netherlands",2015,17.7,26077.7,16938492,3.7680720170973,9.32,1425.81357856494
"Netherlands",2016,17.3,26185.2,16981285,3.80858348661896,9.38,1437.30940400313
"Netherlands",2017,16.8,26202.9,17021343,3.85015563247668,9.26,1436.76564376979
"Netherlands",2018,16.5,26167.7,17059560,3.86177921724823,9.15,1436.06016156463
"Netherlands",2019,15.4,26492.6,17097123,3.87374440693416,9.06,1438.52012093411
"New Zealand",2000,22.4,14714.8,3858992,3.91431907795598,13.48,1836
"New Zealand",2001,22.3,14823.1,3907941,3.92792462642548,13.53,1825
"New Zealand",2002,21.8,15390.9,3963202,3.94578843225205,13.27,1826
"New Zealand",2003,21.7,15923.6,4022074,3.96471968282523,13.14,1823
"New Zealand",2004,21.7,16352.5,4080421,3.98464802905924,12.95,1830
"New Zealand",2005,22.3,16972.6,4135353,4.00161221281321,12.77,1815
"New Zealand",2006,21.8,18100.8,4185881,4.01400676558662,12.41,1795
"New Zealand",2007,20.8,18697.6,4233046,4.01833387204377,12.3,1774
"New Zealand",2008,21.4,19182.1,4278156,4.02181952506171,12.17,1761
"New Zealand",2009,21.5,19224,4323338,4.02323794555103,11.89,1740
"New Zealand",2010,21.4,18843.8,4370060,4.02433601125106,11.71,1755
"New Zealand",2011,20.5,19276.7,4418674,4.03417038440352,11.59,1746
"New Zealand",2012,20.3,19505.8,4468462,4.05279716331427,11.5,1734
"New Zealand",2013,19.5,19885.2,4518519,4.07382113670039,11.04,1756
"New Zealand",2014,18.6,20529,4567522,4.09365991787583,10.89,1758
"New Zealand",2015,17.9,21094.5,4614527,4.10460409763845,10.85,1753
"New Zealand",2016,17.8,21395.8,4659265,4.10571159412807,10.88,1754
"New Zealand",2017,17.5,21817.4,4702029,4.10503026117207,10.75,1756
"New Zealand",2018,17.7,22580.4,4743131,4.10332318542559,10.74,1759
"South Korea",2008,10.2,13313.1,49182458,2.14976894310476,26.05,2228
"South Korea",2009,9.9,13288.6,49347450,2.18623311330143,26.81,2174
"South Korea",2010,9.6,13427,49545638,2.21112738899954,26.68,2163
"South Korea",2011,9.8,12882.6,49786153,2.23104867352081,25.82,2136
"South Korea",2012,9.9,13494.6,50060639,2.25128612349688,24.64,2119
"South Korea",2013,10.1,14284.3,50345720,2.27159844917528,23.47,2106
"South Korea",2014,10.1,15191.4,50607904,2.28847178254783,22.27,2076
"South Korea",2015,10,16258.6,50823087,2.30013499034385,21.07,2083
"South Korea",2016,10,17112.2,50983446,2.28113744805241,20.18,2068
"South Korea",2017,10.5,19626.1,51096408,2.25521484290168,19.89,2018
"South Korea",2018,11.6,21680.3,51171700,2.25646707721167,19.72,1993
"United States",2000,12.9,16392.9,281710914,4.86991145785498,10.88,1832.16
"United States",2001,12.9,16136.9,284607992,4.88065100313749,10.96,1810.772
"United States",2002,12.8,15778.7,287279312,4.88267583173076,11.07,1805.895
"United States",2003,12.4,15367.3,289815567,4.87969211963292,11.07,1796.418
"United States",2004,12,14863,292354663,4.87749080827754,10.97,1798.124
"United States",2005,12,14398.6,294993509,4.88191015285395,11.16,1794.312
"United States",2006,11.5,14833,297758977,4.89006277097683,11.33,1796.333
"United States",2007,11.6,16117,300608425,4.89743782012908,11.43,1795.48745454545
"United States",2008,11.9,18013.5,303486022,4.90278864683079,11.57,1786.23391666667
"United States",2009,11.8,18739.4,306307565,4.90507285736395,11.68,1760.9085
"United States",2010,11.4,18165.9,309011469,4.90398629303836,11.67,1771.556
"United States",2011,11.3,17797.6,311584051,4.88622477570532,11.85,1778.3375
"United States",2012,10.8,17540.7,314043885,4.84669370389954,11.88,1781.96783333333
"United States",2013,10.8,17260.7,316400539,4.79906915076829,11.94,1780.353
"United States",2014,10.7,17240.2,318673422,4.7548872524648,12.1,1781.96783333333
"United States",2015,10.6,17025.4,320878312,4.72662154614063,12.37,1783.01666666667
"United States",2016,10.3,16670.3,323015992,4.71574448206227,12.67,1778.41766666667
"United States",2017,10.3,16272.9,325084758,4.71092363104202,12.35,1777.57066666667
"United States",2018,10.1,15983.2,327096263,4.70848192480141,11.97,1781.56716666667
"United States",2019,9.9,15788.4,329064917,4.71011534866182,11.67,1777.241
