"Countries","Years","UnionDensity"
"Australia",2000,24.9
"Australia",2001,24.6
"Australia",2002,23.2
"Australia",2003,23.2
"Australia",2004,22.8
"Australia",2005,22.5
"Australia",2006,20.4
"Australia",2007,18.8
"Australia",2008,18.8
"Australia",2009,19.6
"Australia",2010,18.4
"Australia",2011,18.4
"Australia",2012,18.2
"Australia",2013,17
"Australia",2014,15.1
"Australia",2016,14.6
"Australia",2018,13.7
"Austria",2000,36.9
"Austria",2001,36.2
"Austria",2002,36
"Austria",2003,34.6
"Austria",2004,34.8
"Austria",2005,33.8
"Austria",2006,31.6
"Austria",2007,30.4
"Austria",2008,29.6
"Austria",2009,29.3
"Austria",2010,28.9
"Austria",2011,28.3
"Austria",2012,28
"Austria",2013,27.8
"Austria",2014,27.7
"Austria",2015,27.4
"Austria",2016,26.9
"Austria",2017,26.7
"Austria",2018,26.3
"Austria",2019,26.3
"Belgium",2000,56.6
"Belgium",2001,57.6
"Belgium",2002,56.9
"Belgium",2003,55.4
"Belgium",2004,55.3
"Belgium",2005,54.9
"Belgium",2006,53.8
"Belgium",2007,53.6
"Belgium",2008,53.4
"Belgium",2009,53.8
"Belgium",2010,53
"Belgium",2011,54.2
"Belgium",2012,54.1
"Belgium",2013,53.3
"Belgium",2014,52.9
"Belgium",2015,52.3
"Belgium",2016,51.6
"Belgium",2017,50.7
"Belgium",2018,50
"Belgium",2019,49.1
"Canada",2000,28.2
"Canada",2001,28.4
"Canada",2002,28.3
"Canada",2003,28.2
"Canada",2004,27.8
"Canada",2005,27.7
"Canada",2006,27.4
"Canada",2007,27.3
"Canada",2008,27
"Canada",2009,27.3
"Canada",2010,27.2
"Canada",2011,26.9
"Canada",2012,27.2
"Canada",2013,27.1
"Canada",2014,26.4
"Canada",2015,26.5
"Canada",2016,26.3
"Canada",2017,26.3
"Canada",2018,25.9
"Canada",2019,26.1
"Canada",2020,27.2
"Chile",2000,11.2
"Chile",2001,10.9
"Chile",2002,11.1
"Chile",2003,11.7
"Chile",2004,11.5
"Chile",2005,11.1
"Chile",2006,11.2
"Chile",2007,11.5
"Chile",2008,12.9
"Chile",2009,13.7
"Chile",2010,13.9
"Chile",2011,13.8
"Chile",2012,14.4
"Chile",2013,14.1
"Chile",2014,14.6
"Chile",2015,15.3
"Chile",2016,16.9
"Chile",2017,17
"Chile",2018,16.6
"Colombia",2000,12.3
"Colombia",2002,10.9
"Colombia",2004,10.5
"Colombia",2005,9.6
"Colombia",2006,9.6
"Colombia",2008,9.6
"Colombia",2009,9.4
"Colombia",2010,9.2
"Colombia",2011,9.1
"Colombia",2012,9.1
"Colombia",2013,9.7
"Colombia",2014,9.6
"Colombia",2015,9.4
"Colombia",2016,9.5
"Colombia",2017,9.5
"Costa Rica",2000,14.3
"Costa Rica",2001,13.5
"Costa Rica",2002,14.3
"Costa Rica",2003,14.5
"Costa Rica",2004,13.9
"Costa Rica",2005,13.3
"Costa Rica",2006,12.9
"Costa Rica",2007,11.5
"Costa Rica",2008,12
"Costa Rica",2009,13
"Costa Rica",2010,12.9
"Costa Rica",2011,13.4
"Costa Rica",2012,13.1
"Costa Rica",2013,13.7
"Costa Rica",2014,12.4
"Costa Rica",2015,18.6
"Costa Rica",2016,19.3
"Costa Rica",2017,19.3
"Costa Rica",2018,19.4
"Costa Rica",2019,20.5
"Czech Republic",2000,27.2
"Czech Republic",2001,23.8
"Czech Republic",2002,22.4
"Czech Republic",2003,22.3
"Czech Republic",2004,20.6
"Czech Republic",2005,19.1
"Czech Republic",2006,18.1
"Czech Republic",2007,17.4
"Czech Republic",2008,16.9
"Czech Republic",2009,16.7
"Czech Republic",2010,16.1
"Czech Republic",2011,15.4
"Czech Republic",2012,14.8
"Czech Republic",2013,13.6
"Czech Republic",2014,12.9
"Czech Republic",2015,11.9
"Czech Republic",2016,11.9
"Czech Republic",2017,11.7
"Czech Republic",2018,11.4
"Denmark",2000,74.5
"Denmark",2001,73.9
"Denmark",2002,73.6
"Denmark",2003,72.4
"Denmark",2004,71.7
"Denmark",2005,71.5
"Denmark",2006,69.7
"Denmark",2007,69
"Denmark",2008,68.8
"Denmark",2009,68.9
"Denmark",2010,68.1
"Denmark",2011,68.7
"Denmark",2012,69
"Denmark",2013,68.8
"Denmark",2014,68.5
"Denmark",2015,68.2
"Denmark",2016,67.4
"Denmark",2017,66.7
"Denmark",2018,67.5
"Denmark",2019,67
"Estonia",2000,14
"Estonia",2001,14
"Estonia",2002,12.6
"Estonia",2003,11
"Estonia",2004,9.4
"Estonia",2005,8.7
"Estonia",2006,8.4
"Estonia",2007,7.6
"Estonia",2008,6.2
"Estonia",2009,7.6
"Estonia",2010,8.2
"Estonia",2011,7
"Estonia",2012,6
"Estonia",2013,5.6
"Estonia",2014,5.3
"Estonia",2015,4.5
"Estonia",2016,5
"Estonia",2017,4.7
"Estonia",2018,5.9
"Estonia",2019,6
"Finland",2000,74.2
"Finland",2001,76.6
"Finland",2002,75.7
"Finland",2003,74.5
"Finland",2004,73.5
"Finland",2005,72.7
"Finland",2006,71.9
"Finland",2007,71.1
"Finland",2008,69.9
"Finland",2009,72.5
"Finland",2010,71.4
"Finland",2011,69.6
"Finland",2012,69.2
"Finland",2013,67.5
"Finland",2014,67.8
"Finland",2015,67.5
"Finland",2016,65.7
"Finland",2017,62.9
"Finland",2018,60
"Finland",2019,58.8
"France",2000,10.8
"France",2001,10.8
"France",2002,10.8
"France",2003,10.8
"France",2004,10.5
"France",2005,10.5
"France",2008,10.6
"France",2010,10.8
"France",2013,11
"France",2016,10.8
"Germany",2000,24.6
"Germany",2001,23.7
"Germany",2002,23.5
"Germany",2003,23
"Germany",2004,22.2
"Germany",2005,21.5
"Germany",2006,20.6
"Germany",2007,19.8
"Germany",2008,19
"Germany",2009,18.8
"Germany",2010,18.9
"Germany",2011,18.4
"Germany",2012,18.3
"Germany",2013,18
"Germany",2014,17.7
"Germany",2015,17.6
"Germany",2016,17
"Germany",2017,16.7
"Germany",2018,16.6
"Germany",2019,16.3
"Greece",2001,24.9
"Greece",2004,24.1
"Greece",2007,22.6
"Greece",2010,22.2
"Greece",2013,23.1
"Greece",2016,19
"Hungary",2000,23.8
"Hungary",2001,20.4
"Hungary",2003,18.9
"Hungary",2004,17.9
"Hungary",2005,17.3
"Hungary",2008,15.3
"Hungary",2012,12.5
"Hungary",2014,11
"Hungary",2016,9.2
"Hungary",2018,8.3
"Iceland",2000,89.1
"Iceland",2001,88.9
"Iceland",2002,93.3
"Iceland",2003,86.5
"Iceland",2004,84.1
"Iceland",2005,84.1
"Iceland",2006,85.2
"Iceland",2007,84.9
"Iceland",2008,84.7
"Iceland",2009,84.9
"Iceland",2010,85.2
"Iceland",2011,85
"Iceland",2012,85.3
"Iceland",2013,88.9
"Iceland",2014,90.4
"Iceland",2015,91.6
"Iceland",2016,90.4
"Iceland",2017,91
"Iceland",2018,90.7
"Iceland",2019,90.7
"Iceland",2020,92.2
"Ireland",2000,35.9
"Ireland",2001,35
"Ireland",2002,35.1
"Ireland",2003,34.9
"Ireland",2004,33.6
"Ireland",2005,32.4
"Ireland",2006,31.7
"Ireland",2007,30.5
"Ireland",2008,30.9
"Ireland",2009,31.9
"Ireland",2010,31.6
"Ireland",2011,31.6
"Ireland",2012,30.1
"Ireland",2013,28.5
"Ireland",2014,26.3
"Ireland",2015,25.4
"Ireland",2016,23.4
"Ireland",2017,24.3
"Ireland",2018,24.1
"Ireland",2019,25.1
"Ireland",2020,26.2
"Israel",2000,37.7
"Israel",2007,30.3
"Israel",2012,22.8
"Israel",2017,25
"Italy",2000,34.8
"Italy",2001,34.2
"Italy",2002,33.7
"Italy",2003,33.6
"Italy",2004,34
"Italy",2005,33.8
"Italy",2006,33.6
"Italy",2007,34
"Italy",2008,33.9
"Italy",2009,34.7
"Italy",2010,35.3
"Italy",2011,35.2
"Italy",2012,35.5
"Italy",2013,35.7
"Italy",2014,35.4
"Italy",2015,34.2
"Italy",2016,33.6
"Italy",2017,33.2
"Italy",2018,32.6
"Italy",2019,32.5
"Japan",2000,21.5
"Japan",2001,20.9
"Japan",2002,20.3
"Japan",2003,19.7
"Japan",2004,19.3
"Japan",2005,18.8
"Japan",2006,18.3
"Japan",2007,18.3
"Japan",2008,18.2
"Japan",2009,18.5
"Japan",2010,18.4
"Japan",2011,19
"Japan",2012,18
"Japan",2013,17.8
"Japan",2014,17.6
"Japan",2015,17.5
"Japan",2016,17.4
"Japan",2017,17.2
"Japan",2018,17
"Japan",2019,16.8
"South Korea",2000,11.4
"South Korea",2001,11.5
"South Korea",2002,11.3
"South Korea",2003,10.7
"South Korea",2004,10.3
"South Korea",2005,9.9
"South Korea",2006,10
"South Korea",2007,10.5
"South Korea",2008,10.2
"South Korea",2009,9.9
"South Korea",2010,9.6
"South Korea",2011,9.8
"South Korea",2012,9.9
"South Korea",2013,10.1
"South Korea",2014,10.1
"South Korea",2015,10
"South Korea",2016,10
"South Korea",2017,10.5
"South Korea",2018,11.6
"Lithuania",2001,18.5
"Lithuania",2003,12.2
"Lithuania",2006,9.8
"Lithuania",2007,9.3
"Lithuania",2008,8.9
"Lithuania",2009,10
"Lithuania",2010,10.1
"Lithuania",2011,9.7
"Lithuania",2012,9
"Lithuania",2013,8.4
"Lithuania",2014,8.1
"Lithuania",2015,7.9
"Lithuania",2016,7.7
"Lithuania",2017,7.7
"Lithuania",2018,7.1
"Lithuania",2019,7.4
"Latvia",2003,21
"Latvia",2006,18
"Latvia",2007,16.7
"Latvia",2008,15.2
"Latvia",2009,15.2
"Latvia",2010,15.1
"Latvia",2011,13.7
"Latvia",2012,13.2
"Latvia",2013,12.9
"Latvia",2014,12.8
"Latvia",2015,12.7
"Latvia",2016,12.4
"Latvia",2017,12.3
"Latvia",2018,11.6
"Luxembourg",2003,44
"Luxembourg",2004,43.4
"Luxembourg",2005,42.6
"Luxembourg",2006,41.4
"Luxembourg",2007,39.5
"Luxembourg",2008,37.6
"Luxembourg",2009,36.8
"Luxembourg",2010,36.1
"Luxembourg",2011,36.6
